"Uptime (ms)","Used PS Old Gen","Used PS Survivor Space","Used PS Eden Space","Allocated All Pools"
"398500","156463104","0","2543616","510656512"
"399500","269835264","5308416","2392064","505937920"
"401100","180477952","0","2723840","511705088"
"402100","288348160","5505024","72884224","508035072"
"403200","155218944","0","2536448","509083648"
"404300","268493824","5472256","2376704","504889344"
"405800","181980160","0","2717696","513277952"
"406800","290243584","5505024","72103936","506986496"
"408000","155876352","0","2529280","510132224"
"409000","269625344","5505024","2476032","507510784"
"410700","183670784","0","2796544","514850816"
"411700","298078208","5537792","2438144","484966400"
"412800","156299264","0","2526208","509607936"
"413800","269540352","5472256","2382848","504889344"
"415500","181933056","0","2724864","513277952"
"416500","295635968","5537792","2449408","506986496"
"417700","155876352","0","2536448","510132224"
"418700","269314048","5406720","2440192","506462208"
"420300","182214656","0","2761728","513277952"
"421300","295966720","5505024","2412544","506986496"
"422500","155500544","0","2542592","508559360"
"423500","259602432","4882432","69479424","498597888"
"425300","187847680","0","2734080","513277952"
"426300","293218304","5406720","74597376","504365056"
"427400","150969344","0","2476032","507510784"
"428400","262540288","5242880","68321280","500695040"
"430000","184679424","0","2759680","514850816"
"431100","293188608","5439488","2402304","506986496"
"432300","155829248","0","2549760","508559360"
"433300","269284352","5472256","2388992","505413632"
"434900","182332416","0","2710528","512753664"
"435900","290694144","5505024","69768192","506986496"
"437100","155993088","0","2531328","510132224"
"438100","274673664","5570560","2453504","507510784"
"439600","182168576","0","2756608","513277952"
"440700","296391680","6225920","2713600","514326528"
"441800","150289408","0","2698240","512753664"
"442800","257987584","5406720","2337792","502267904"
"444500","189938688","0","2719744","513802240"
"445600","298259456","5537792","2404352","506462208"
"446700","150171648","0","2493440","506462208"
"447700","261479424","5111808","70105088","500695040"
"449300","184545280","0","2764800","514850816"
"450400","293185536","5406720","70654976","504889344"
"451500","155876352","0","2535424","510132224"
"452500","268544000","5505024","2406400","506462208"
"454100","181182464","0","2758656","513277952"
"455100","294961152","5373952","2362368","505413632"
"456300","153757696","0","2528256","510656512"
"457400","267080704","5570560","2436096","506462208"
